"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AUS088-Set7aB11_S23.final.scaffolds.fasta.nohead.fasta","AUS089-Set7bE2_S2.final.scaffolds.fasta.nohead.fasta","AUS52.fasta","DUN-003B-Set9aC9_S33.final.scaffolds.fasta.nohead.fasta","DUN-004-Set9aC10_S34.final.scaffolds.fasta.nohead.fasta","ILPAO1.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","Pseudomonas_aeruginosa_PAO1_107.fna"
"pqiB","","Paraquat-inducible protein B","19","19","1","1","17","","","","2306","5441","2471","CIGDOPNK_00020","BNMDDFNN_05331","NMHOBMPN_04143","LGHNJHKC_00170","DEIJMABD_04557","CDBGKAIK_05610","CECHFLPG_00132","IKEEPGDJ_00123","GDNBNODK_00104","LEACNAEK_04475","CABJIOEI_04820","GNFPCNDJ_00144","AELPJDKL_00129","LGGGIJGP_04810","BGKEFAEA_05389","BKCAIGBL_00196","BBPGNFAN_05442","JKFCCDBN_03716","DOOJPGAP_04846"
"group_10000","","hypothetical protein","19","19","1","1","10284","","","","101","101","101","CIGDOPNK_03500","BNMDDFNN_02225","NMHOBMPN_04902","LGHNJHKC_01686","DEIJMABD_00914","CDBGKAIK_04056","CECHFLPG_03327","IKEEPGDJ_03062","GDNBNODK_02904","LEACNAEK_00776","CABJIOEI_07239","GNFPCNDJ_03160","AELPJDKL_02366","LGGGIJGP_07773","BGKEFAEA_02733","BKCAIGBL_03234","BBPGNFAN_02782","JKFCCDBN_03202","DOOJPGAP_01783"
"greB","","Transcription elongation factor GreB","19","19","1","1","12860","","","","506","506","506","CIGDOPNK_03026","BNMDDFNN_01300","NMHOBMPN_01341","LGHNJHKC_05100","DEIJMABD_00147","CDBGKAIK_01639","CECHFLPG_03697","IKEEPGDJ_03962","GDNBNODK_03274","LEACNAEK_04023","CABJIOEI_07942","GNFPCNDJ_03915","AELPJDKL_03269","LGGGIJGP_08687","BGKEFAEA_01977","BKCAIGBL_04138","BBPGNFAN_01902","JKFCCDBN_04436","DOOJPGAP_02961"
"yceJ_1","","Cytochrome b561","19","19","1","1","7440","","","","569","569","569","CIGDOPNK_02041","BNMDDFNN_03268","NMHOBMPN_02774","LGHNJHKC_03268","DEIJMABD_02341","CDBGKAIK_05250","CECHFLPG_01729","IKEEPGDJ_01229","GDNBNODK_01677","LEACNAEK_01558","CABJIOEI_06397","GNFPCNDJ_01477","AELPJDKL_01518","LGGGIJGP_06030","BGKEFAEA_03862","BKCAIGBL_01442","BBPGNFAN_04542","JKFCCDBN_01112","DOOJPGAP_00433"
"group_10003","","hypothetical protein","19","19","1","1","10631","","","","419","419","419","CIGDOPNK_05091","BNMDDFNN_00196","NMHOBMPN_03190","LGHNJHKC_02410","DEIJMABD_05002","CDBGKAIK_00676","CECHFLPG_02688","IKEEPGDJ_02483","GDNBNODK_04740","LEACNAEK_03267","CABJIOEI_09426","GNFPCNDJ_02591","AELPJDKL_04689","LGGGIJGP_07135","BGKEFAEA_03045","BKCAIGBL_02661","BBPGNFAN_00190","JKFCCDBN_00135","DOOJPGAP_00877"
"glnK","","Nitrogen regulatory protein P-II 2","19","19","1","1","8751","","","","338","338","338","CIGDOPNK_03761","BNMDDFNN_04243","NMHOBMPN_02017","LGHNJHKC_04444","DEIJMABD_05618","CDBGKAIK_00947","CECHFLPG_00799","IKEEPGDJ_05709","GDNBNODK_00493","LEACNAEK_03060","CABJIOEI_05339","GNFPCNDJ_00841","AELPJDKL_04052","LGGGIJGP_10451","BGKEFAEA_00505","BKCAIGBL_00917","BBPGNFAN_01372","JKFCCDBN_02952","DOOJPGAP_05468"
"arsC_1","","Arsenate reductase","19","19","1","1","10777","","","","353","353","353","CIGDOPNK_05198","BNMDDFNN_00302","NMHOBMPN_03297","LGHNJHKC_02515","DEIJMABD_05737","CDBGKAIK_00570","CECHFLPG_02794","IKEEPGDJ_02589","GDNBNODK_04846","LEACNAEK_03373","CABJIOEI_09532","GNFPCNDJ_02485","AELPJDKL_04795","LGGGIJGP_07029","BGKEFAEA_02939","BKCAIGBL_02767","BBPGNFAN_00296","JKFCCDBN_00029","DOOJPGAP_00983"
"group_10006","","hypothetical protein","19","19","1","1","309","","","","317","317","317","CIGDOPNK_01512","BNMDDFNN_00937","NMHOBMPN_00032","LGHNJHKC_05462","DEIJMABD_05347","CDBGKAIK_02006","CECHFLPG_00903","IKEEPGDJ_00920","GDNBNODK_00658","LEACNAEK_04364","CABJIOEI_05452","GNFPCNDJ_00894","AELPJDKL_00574","LGGGIJGP_05557","BGKEFAEA_04734","BKCAIGBL_00970","BBPGNFAN_01536","JKFCCDBN_03534","DOOJPGAP_03328"
"group_10007","","hypothetical protein","19","19","1","1","12974","","","","95","95","95","CIGDOPNK_03128","BNMDDFNN_01411","NMHOBMPN_01452","LGHNJHKC_04982","DEIJMABD_00043","CDBGKAIK_01539","CECHFLPG_03597","IKEEPGDJ_04062","GDNBNODK_03174","LEACNAEK_03923","CABJIOEI_07841","GNFPCNDJ_03815","AELPJDKL_03369","LGGGIJGP_08788","BGKEFAEA_02078","BKCAIGBL_04239","BBPGNFAN_02002","JKFCCDBN_04536","DOOJPGAP_02861"
"group_10008","","hypothetical protein","19","19","1","1","323","","","","299","299","299","CIGDOPNK_01498","BNMDDFNN_00951","NMHOBMPN_00018","LGHNJHKC_05448","DEIJMABD_05333","CDBGKAIK_01992","CECHFLPG_00917","IKEEPGDJ_00934","GDNBNODK_00672","LEACNAEK_04350","CABJIOEI_05438","GNFPCNDJ_00880","AELPJDKL_00560","LGGGIJGP_05543","BGKEFAEA_04720","BKCAIGBL_00956","BBPGNFAN_01550","JKFCCDBN_03520","DOOJPGAP_03314"
